player_id,name,final_label,evidence_count,tier1_count,tier2_count,tier3_count,rule_applied,has_low_footprint_flag,labeled_at
00-0037418,Delonte Hood,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0037421,Desmond Noel,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0037463,Zein Obeid,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0037507,Chase Garbers,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0037508,Justin Hall,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0037652,T.J. Pledger,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0037711,Jeremiah Pharms Jr.,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0037816,Romeo Doubs,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0037835,Luke Goedeke,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0038359,Xavier Smith,,2,0,0,2,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0038517,Isaiah Norman,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0038519,Nikko Remigio,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0038584,Jaquelin Roy,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0038721,Tyler Beach,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0038864,Michael Ezeike,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0038888,Tautala Pesefea,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0038962,Gavin Holmes,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0039313,Swayze Bozeman,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0039494,Kenny Dyson,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0039522,Corey Crooms,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0039533,Clark Barrington,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0039560,Wayne Ruby,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
