word,count_a,count_b,total_count,log_odds,z_score,variance
wrap,10,12,22,1.5817667350653197,3.6942132986139518,0.18333312498471344
motor,8,13,21,1.2777504696915924,2.8435007259123775,0.20192282408115797
textbook,8,17,25,1.0092246008640506,2.3538977468879794,0.18382326273982363
reckoned,7,14,21,1.0696636361155942,2.3107391677580584,0.21428541487062527
set,9,21,30,0.9158187061671237,2.2986884831934473,0.15872991370621678
effort,4,5,9,1.5391108213372506,2.2943722620132316,0.4499994844070364
free,4,5,9,1.5391108213372506,2.2943722620132316,0.4499994844070364
explosive,2,60,62,-1.643299558716902,-2.28620495604063,0.5166579941014637
tenacity,13,39,52,0.6648542528277277,2.0760086728980287,0.10256391148449799
massive,6,82,88,-0.8569920428922888,-2.026374316915315,0.1788604150923738
athleticism,2,47,49,-1.3982517909521217,-1.936663324914798,0.5212697368053618
gets,3,4,7,1.4742562849848184,1.930255700847084,0.5833326541044402
front,17,61,78,0.4858938784501765,1.7716746608850682,0.07521680947178594
presence,1,35,36,-1.7961862391773007,-1.7710808527020674,1.0285512918268462
intensity,3,5,8,1.2510474882562077,1.7130684096784425,0.5333326576753421
engaging,3,5,8,1.2510474882562077,1.7130684096784425,0.5333326576753421
toes,3,5,8,1.2510474882562077,1.7130684096784425,0.5333326576753421
relentless,37,159,196,0.30680450318873476,1.680868227625535,0.033316250851112304
moments,6,16,22,0.781468842166829,1.6324365585429828,0.22916627708065465
valuable,6,16,22,0.781468842166829,1.6324365585429828,0.22916627708065465
fantastic,6,16,22,0.781468842166829,1.6324365585429828,0.22916627708065465
demonstrates,6,16,22,0.781468842166829,1.6324365585429828,0.22916627708065465
clear,11,37,48,0.5498097501004846,1.6009931266203743,0.11793587662418462
block,11,37,48,0.5498097501004846,1.6009931266203743,0.11793587662418462
tone,18,69,87,0.41967724359558645,1.5856856258388803,0.07004814888852921
incredible,5,60,65,-0.7258740990343124,-1.5594329827689475,0.21666520342239343
technique,14,51,65,0.47029341937186153,1.5586973781118065,0.0910362152464864
qb,1,28,29,-1.572587182579122,-1.5452478602252424,1.0356980569417955
breaking,6,17,23,0.7207787587290717,1.5178838288358554,0.22548979451782608
drive,4,51,55,-0.7862884331293385,-1.5143183423351252,0.26960591008377655
veteran,3,6,9,1.0686606538098014,1.5113154460508695,0.4999993013647923
offenses,3,6,9,1.0686606538098014,1.5113154460508695,0.4999993013647923
beat,2,3,5,1.3561574405947443,1.485596942989881,0.8333323241933313
ferocious,2,3,5,1.3561574405947443,1.485596942989881,0.8333323241933313
stifled,2,3,5,1.3561574405947443,1.485596942989881,0.8333323241933313
snap,26,110,136,0.3214017667288793,1.4738808096837535,0.047552328827595414
once,1,26,27,-1.4983491052147446,-1.4703508091518145,1.038446425822724
again,1,26,27,-1.4983491052147446,-1.4703508091518145,1.038446425822724
statement,4,10,14,0.845636920808956,1.429388441555026,0.34999943270837314
lines,12,44,56,0.4634726696571443,1.423139770226817,0.10606037254089119
time,5,14,19,0.7324279870483252,1.4058453010013752,0.27142809247871236
highlights,13,49,62,0.4359392133833522,1.397334227881951,0.0973310207129286
disrupting,1,24,25,-1.4181763098054478,-1.3895326652792928,1.0416526698784712
perfectly,8,27,35,0.5459459673930569,1.356260025161684,0.16203670455067337
incomplete,8,27,35,0.5459459673930569,1.356260025161684,0.16203670455067337
impressive,25,108,133,0.30027734310647425,1.3529419984804718,0.04925913395076064
hurried,3,7,10,0.9144446760680838,1.3251572542354215,0.47618974111865037
work,3,7,10,0.9144446760680838,1.3251572542354215,0.47618974111865037
skills,3,7,10,0.9144446760680838,1.3251572542354215,0.47618974111865037
closes,2,30,32,-0.9481900840321158,-1.2983682112422694,0.5333288422289321
determination,5,15,20,0.6633696821457251,1.2846110622972051,0.26666616985969477
causing,10,37,47,0.45411714601742936,1.274149284565178,0.12702674515223944
defensive,62,304,366,0.1749652543650102,1.25558039584508,0.01941845051339295
chaos,1,21,22,-1.2844498184927726,-1.2549256701326963,1.0476067238899602
