word,count_a,count_b,total_count,log_odds,z_score,variance
special,547,73,620,2.8872468293804916,23.170915200193193,0.015526781826492485
teams,543,53,596,3.200098248884486,22.237095820000704,0.02070954176217091
kick,417,38,455,3.2681367688536955,19.28654294467335,0.028713865976750155
punt,391,174,565,1.6818436462995798,18.45544013996586,0.00830467083973637
tight,811,786,1597,0.9043869918266285,18.068560574315566,0.002505310174337978
veteran,1518,1992,3510,0.6024294507320063,17.682073708772478,0.0011607695223225729
goal,289,57,346,2.4952814061775417,17.217411065110433,0.021004065509394945
decision,333,145,478,1.7033534962879324,17.119732137494953,0.009899554298815467
defensive,1242,5069,6311,-0.5407066377660339,-17.077904056750935,0.0010024304799225478
interception,105,1388,1493,-1.7137363635615097,-16.931815852743902,0.010244268461965939
reliable,635,597,1232,0.9342608900323448,16.388411115142784,0.0032498449225199797
accuracy,255,74,329,2.1088835596128916,15.971312787079698,0.017435081109327403
instincts,235,1695,1930,-1.1079241875259056,-15.916596142585743,0.004845289086293199
end,875,1016,1891,0.7234981257045279,15.687095244695234,0.0021271090432326252
return,240,62,302,2.225136012359214,15.619048406932695,0.020295697597458574
arm,279,134,413,1.6050512310568603,15.271031847080941,0.011046915509550548
bursts,316,1831,2147,-0.8888185610287636,-14.590992259912392,0.0037107062563698514
athleticism,182,1365,1547,-1.1465153638252827,-14.529034931772493,0.00622710547430547
poise,203,50,253,2.272642641548501,14.394743361964467,0.024926106674423555
leg,197,57,254,2.1115641797091342,14.039704967719647,0.022620000439327353
secondary,56,885,941,-1.8914434330977574,-13.726640168618493,0.018987081588758264
defense,843,3337,4180,-0.5083708135482405,-13.188165035630362,0.0014859098839057482
eyes,243,1443,1686,-0.9128786126853914,-13.164991121733328,0.00480822656543204
steps,266,178,444,1.2732232643723522,13.148127513510037,0.00937737570301708
reads,194,1268,1462,-1.008667283983396,-13.083826100115733,0.005943282078769789
hold,276,198,474,1.20365312180982,12.924070522353524,0.008673693166274157
perfectly,263,1485,1748,-0.862463741652931,-12.891731541551334,0.00447568162943851
pocket,519,571,1090,0.7765018185676258,12.803566697066245,0.0036780956416836205
handoff,182,1196,1378,-1.0139627825469981,-12.743793122383769,0.006330625221737229
block,555,634,1189,0.7389582838997724,12.712182589755662,0.003379088760067768
target,364,336,700,0.9517247419235018,12.580058978451254,0.005723443041575049
unit,191,94,285,1.5802750125551208,12.542695013641037,0.015873899332035202
defender,844,1152,1996,0.5613270913368726,12.388913043282482,0.0020528896105819427
sideline,300,1531,1831,-0.7612465283474226,-12.056726070675527,0.003986500862903159
uprights,162,13,175,3.393969439842067,11.773840000584363,0.08309589992413467
force,246,1323,1569,-0.8134995467119239,-11.716377017811803,0.004820898124312379
playmaking,58,682,740,-1.5953265289700376,-11.663796992842764,0.01870765146115593
breaking,100,819,919,-1.2337367256801928,-11.646802652844402,0.011220999743860345
returner,153,12,165,3.416807643394299,11.397640129297647,0.08986926278728379
kicker,169,10,179,3.698680347952582,11.36484965729977,0.10591713131539866
placement,341,343,684,0.8656946804570218,11.320378670619148,0.005848003029456159
coverage,480,2029,2509,-0.5730204497683147,-11.289675212944466,0.0025761867736917624
changing,61,648,709,-1.4936641203743317,-11.152758253062435,0.017936649455122453
skills,60,640,700,-1.4977582678142563,-11.093238616772565,0.018229163560137557
accurate,123,38,161,2.0456552068728664,11.02208774001145,0.03444586884017346
ace,133,13,146,3.1965665382442756,11.00030820180596,0.08444186010296517
engages,278,259,537,0.942185962932415,10.909925217256653,0.007458125926337612
ability,451,1896,2347,-0.5673983917559982,-10.830263132914311,0.002744720867476885
quarterback,1886,5966,7852,-0.28446056152576116,-10.768231861762773,0.0006978391485400697
